topic_id,tag,summary,class,analysis_window,quarter_for_analysis
0,Cisco firewall,"The issue is that the remote logging to a syslog server on udp 2100 on CIsco ISE doesn't work.
-- The user is unable to perform a traceroute from a switch to an interface on an ISE server, even though pings to the interface are successful.
-- The issue is that the posture does not work and in AnyConnect I see the message ""no policy server detected"".
-- The DHCP probe is not able to add endpoints to ISE because it does not have access to the endpoint MAC address, which is required for endpoint discovery.
-- The issue being faced is that the Anyconnect client is not trusting the ISE certificate for posturing upon connection due to it being a self signed certificate.
-- The issue is that the ISE backup is failing when the repository is configured in Azure. The backup fails with the error message ""% Failure occurred during request"". The logs from the backup server session show that the ISE is closing the session with the message ""Closing connection: An existing connection was forcibly closed by the remote host."".",Implement,quarterly,20233
0,Authentication,"The user is trying to authenticate users coming from Cisco ASA with certificate and DUO from ISE, but they are not sure if it is possible to implement this.
-- The issue is that the private key file is encrypted and Ansible cannot authenticate with it.",Implement,quarterly,20233
0,Cisco dna,"The customer is trying to authenticate users to ISE using an external Identity store via the ODBC connector, but they are unsuccessful. They are trying to use a jquery to validate a field (not username) to a server on the internal and/or external network, but they are not sure how to do this.
-- The issue is that when a user joins the guest network on the 9800L WLC, no redirect page pops up to the ISE portal.
-- The issue is that the user is unable to connect their ISE 3.2 instance to DNA Center. The error message ""Failed to download/process pxGrid endpoint certs from Cisco ISE"" indicates that there is a problem with the certificates.
-- The issue is that the virtual network information between Cisco DNA Center and Cisco Identity Services Engine is out of sync. This can be fixed by restarting the migration.
-- The issue is that the user is unable to log into the ISE device using the provided credentials.
-- The issue is that the SGT policies are not being pushed to the NADs when they are changed in DNAC. This is because the PAN is not accessible from the NADs and the PSN is not configured to push the changes.
-- The issue is that the wireless clients are unable to authenticate with AAA (ISE) after DNA Center was updated.",Implement,quarterly,20233
0,Design,The user is unable to start the ISE application on their EVE-NG virtual machine.,Implement,quarterly,20233
0,Others,"* The customer is having problems with their Cisco ASR 1001 router.
* The router is not able to route traffic correctly.
* The customer has tried to reset the router, but the problem persists.
* The customer has contacted Cisco support, but they have been unable to resolve the issue.
* The customer is concerned that the router is defective.
* The customer wants to know if there is a way to fix the router or if they need to replace it.
* The customer is also concerned about the cost of replacing the router.
* The customer is hoping that Cisco will be able to",Design/Integration,quarterly,20233
1,Others,"1. The customer is having problems with their Cisco IOS XR device.
2. The device is not responding to ping requests.
3. The device is not able to route traffic.
4. The device is generating errors in the logs.
5. The customer has tried to reboot the device, but the problem persists.
6. The customer has contacted Cisco support, but they have not been able to resolve the issue.
7. The customer is concerned that the device is not functioning properly and that it may be a security risk.
8. The customer is requesting assistance from a Cisco engineer to resolve the",Design/Integration,quarterly,20233
0,Directory services,"* The customer is having problems with their Cisco ASR 1001 router.
* The router is not able to connect to the internet.
* The customer has tried to troubleshoot the issue, but they have been unsuccessful.
* The Cisco engineer will need to remote into the customer's network to investigate the issue further.
* The Cisco engineer will need to check the router's configuration to see if there are any errors.
* The Cisco engineer may need to update the router's firmware.
* The Cisco engineer may need to replace the router if the issue cannot be resolved.
* The Cisco",Design/Integration,quarterly,20233
0,Cloud/OS,"The customer wants to deploy ISE on Azure and sync it with their SNS server on their DC, but they are not sure if this is possible.
-- The customer is trying to implement two-factor authentication for VPN users using ISE and Azure Active Directory, but they are not sure how to do it.",Design/Integration,quarterly,20233
0,Integration,"The author is trying to find out if there is a ""Cisco ISE Security Bundle"" that contains pre-built correlation rules, dashboards, and reports that can be used to monitor security events from the ISE in a SIEM system.
-- The customer is confused about the differences between BYOD features offered by Meraki and Cisco ISE.
-- The issue being faced is that the company wants to integrate ISE with SPLAN for guest access, but they are not sure if it is possible or if there is a custom solution available.
-- The issue is that the user is not sure what resources can be adjusted after an ISE deployment based on vmware VM's.
-- The issue is that when trying to push data (custom attributes for a device) from Medigate to ISE the custom attributes are not being received.
-- The customer is trying to figure out how to integrate ISE with Checkpoint VPN, and they have a few specific questions:
1. Can ISE be configured to do VPN access with Checkpoint in a similar way that you can with Cisco Firewalls and Anyconnect?
2. Do you need pxGrid to be able to do ISE to Checkpoint VPN integration?
3. Is it possible to do Profiling and/or Posture with Checkpoint VPN?
-- The customer wants to deploy Cisco ISE 3.1 with Intune for Windows patch management, but they are facing challenges in achieving this.
-- The issue is that the user is unable to reserve the ""Automate ISE with OpenAPIs Python and Ansible"" sandbox due to an API csrf issue.",Design/Integration,quarterly,20233
0,Cisco firewall,"The user is trying to get ISE to manage the LSC certificate between CUCM and Firepower VPN.
-- The issue being faced is that the syslog port needs to be opened on the firewall for all ISE nodes in a distributed deployment.",Design/Integration,quarterly,20233
0,Authentication,"The issue is that the user is having trouble finding documentation or a configuration guide on how to integrate ISE and Imprivata for 2FA auth for SSLVPN.
-- The issue is that ISE is not able to establish a connection to the RSA server, which is why there are no logs on the firewall along the path. This could be due to a number of factors, such as misconfiguration of the ISE-RSA integration, DNS issues, or a firewall rule blocking the traffic.",Design/Integration,quarterly,20233
0,Cisco dna,"The user is trying to understand if ISE would be able to handle Cisco SD-Access and DNA managed network while still be to work with standalone and legacy network devices.
-- The issue being faced is that TrustSec with ACI + ISE only supports single Tenant with single L3Out, but the customer is trying to implement TrustSec with DNAC + ISE + ACI with multiple tenants and multiple L3Outs.
-- The user is trying to create a ACL to deny access for wired and wireless clients, but they are having trouble because DACL is not supported by any WLC as of today.
-- ISE is not able to see DNAC as a client in the Pxgrid Services ; Client Management ; Clients page, even though ISE and DNAC are successfully connected.
-- The integration of Cisco DNA center with ISE is failing due to a broken CA chain.
-- The integration between DNAC and ISE has stopped working, and the error message is ""The ISE credentials provided are invalid"", even though the credentials work fine when used directly in the ISE web interface.
-- The issue is that the WLC is not showing the SGTs, even though all the AAA/RADIUS/COA/etc config was pushed to the WLC from DNAC.",Design/Integration,quarterly,20233
